metric_type,date,category,raw_downloads,sanitized_downloads,rolling_7d_avg,rolling_30d_avg,daily_growth_pct,is_spike,confidence_score
daily,2025-07-04 00:00:00,downloads,5,5.0,5.0,5.0,0.0,False,0.9
daily,2025-07-04 00:00:00,downloads,1,1.0,3.0,3.0,-80.0,False,0.9
daily,2025-07-05 00:00:00,downloads,1,1.0,2.3333333333333335,2.3333333333333335,0.0,False,0.9
daily,2025-07-05 00:00:00,downloads,1,1.0,2.0,2.0,0.0,False,0.9
daily,2025-07-06 00:00:00,downloads,2,2.0,2.0,2.0,100.0,False,0.9
daily,2025-07-08 00:00:00,downloads,4,4.0,2.3333333333333335,2.3333333333333335,100.0,False,0.9
daily,2025-07-10 00:00:00,downloads,2,2.0,2.2857142857142856,2.2857142857142856,-50.0,False,0.9
daily,2025-07-10 00:00:00,downloads,2,2.0,1.8571428571428572,2.25,0.0,False,0.9
daily,2025-07-11 00:00:00,downloads,4,4.0,2.2857142857142856,2.4444444444444446,100.0,False,0.9
daily,2025-07-13 00:00:00,downloads,12,4.0,3.857142857142857,3.4,0.0,True,0.4
daily,2025-07-14 00:00:00,downloads,4,4.0,4.285714285714286,3.4545454545454546,0.0,False,0.9
daily,2025-07-16 00:00:00,downloads,8,8.0,5.142857142857143,3.8333333333333335,100.0,False,0.9
daily,2025-07-17 00:00:00,downloads,6,6.0,5.428571428571429,4.0,-25.0,False,0.9
daily,2025-07-18 00:00:00,downloads,2,2.0,5.428571428571429,3.857142857142857,-66.67,False,0.9
daily,2025-07-18 00:00:00,downloads,2,2.0,5.428571428571429,3.7333333333333334,0.0,False,0.9
daily,2025-07-22 00:00:00,downloads,1,1.0,5.0,3.5625,-50.0,False,0.9
daily,2025-07-22 00:00:00,downloads,1,1.0,3.4285714285714284,3.411764705882353,0.0,False,0.9
daily,2025-07-23 00:00:00,downloads,1,1.0,3.0,3.2777777777777777,0.0,False,0.9
daily,2025-07-23 00:00:00,downloads,1,1.0,2.0,3.1578947368421053,0.0,False,0.9
daily,2025-07-26 00:00:00,downloads,4,4.0,1.7142857142857142,3.2,300.0,False,0.9
daily,2025-07-27 00:00:00,downloads,8,3.0,2.5714285714285716,3.4285714285714284,-25.0,True,0.4
daily,2025-07-28 00:00:00,downloads,9,4.0,3.5714285714285716,3.6818181818181817,33.33,True,0.4
daily,2025-07-28 00:00:00,downloads,5,5.0,4.142857142857143,3.739130434782609,25.0,False,0.9
daily,2025-07-29 00:00:00,downloads,8,8.0,5.142857142857143,3.9166666666666665,60.0,False,0.9
daily,2025-07-30 00:00:00,downloads,125,23.0,22.857142857142858,8.76,187.5,True,0.4
daily,2025-07-30 00:00:00,downloads,255,59.0,59.142857142857146,18.23076923076923,156.52,True,0.4
daily,2025-07-31 00:00:00,downloads,116,116.0,75.14285714285714,21.85185185185185,96.61,False,0.9
daily,2025-07-31 00:00:00,downloads,39,39.0,79.57142857142857,22.464285714285715,-66.38,False,0.9
daily,2025-08-01 00:00:00,downloads,24,24.0,81.71428571428571,22.517241379310345,-38.46,False,0.9
daily,2025-08-02 00:00:00,downloads,14,14.0,83.0,22.233333333333334,-41.67,False,0.9
daily,2025-08-03 00:00:00,downloads,4,4.0,82.42857142857143,22.2,-71.43,False,0.9
daily,2025-08-04 00:00:00,downloads,8,8.0,65.71428571428571,22.433333333333334,100.0,False,0.9
daily,2025-08-04 00:00:00,downloads,24,24.0,32.714285714285715,23.2,200.0,False,0.9
daily,2025-08-05 00:00:00,downloads,2,2.0,16.428571428571427,23.233333333333334,-91.67,False,0.9
daily,2025-08-05 00:00:00,downloads,14,14.0,12.857142857142858,23.633333333333333,600.0,False,0.9
daily,2025-08-06 00:00:00,downloads,16,16.0,11.714285714285714,24.033333333333335,14.29,False,0.9
daily,2025-08-07 00:00:00,downloads,8,8.0,10.857142857142858,24.233333333333334,-50.0,False,0.9
daily,2025-08-07 00:00:00,downloads,16,16.0,12.571428571428571,24.7,100.0,False,0.9
daily,2025-08-08 00:00:00,downloads,16,16.0,13.714285714285714,25.1,0.0,False,0.9
daily,2025-08-09 00:00:00,downloads,6,6.0,11.142857142857142,24.9,-62.5,False,0.9
daily,2025-08-09 00:00:00,downloads,18,18.0,13.428571428571429,25.366666666666667,200.0,False,0.9
daily,2025-08-10 00:00:00,downloads,19,19.0,14.142857142857142,25.733333333333334,5.56,False,0.9
daily,2025-08-10 00:00:00,downloads,3,3.0,12.285714285714286,25.633333333333333,-84.21,False,0.9
daily,2025-08-11 00:00:00,downloads,1,1.0,11.285714285714286,25.6,-66.67,False,0.9
daily,2025-08-11 00:00:00,downloads,9,9.0,10.285714285714286,25.833333333333332,800.0,False,0.9
daily,2025-08-12 00:00:00,downloads,3,3.0,8.428571428571429,25.9,-66.67,False,0.9
daily,2025-08-13 00:00:00,downloads,6,6.0,8.428571428571429,26.066666666666666,100.0,False,0.9
daily,2025-08-13 00:00:00,downloads,35,11.0,10.857142857142858,27.2,83.33,True,0.4
daily,2025-08-14 00:00:00,downloads,12,12.0,9.857142857142858,27.566666666666666,9.09,False,0.9
daily,2025-08-16 00:00:00,downloads,162,33.0,32.57142857142857,32.833333333333336,175.0,True,0.4
daily,2025-08-16 00:00:00,downloads,75,75.0,43.142857142857146,35.06666666666667,127.27,False,0.9
daily,2025-08-17 00:00:00,downloads,56,56.0,49.857142857142854,36.63333333333333,-25.33,False,0.9
daily,2025-08-17 00:00:00,downloads,15,15.0,51.57142857142857,36.96666666666667,-73.21,False,0.9
daily,2025-08-18 00:00:00,downloads,29,29.0,54.857142857142854,37.666666666666664,93.33,False,0.9
daily,2025-08-18 00:00:00,downloads,5,5.0,50.57142857142857,33.666666666666664,-82.76,False,0.9
daily,2025-08-19 00:00:00,downloads,2,2.0,49.142857142857146,25.233333333333334,-60.0,False,0.9
daily,2025-08-19 00:00:00,downloads,26,26.0,29.714285714285715,22.233333333333334,1200.0,False,0.9
daily,2025-08-20 00:00:00,downloads,13,13.0,20.857142857142858,21.366666666666667,-50.0,False,0.9
daily,2025-08-21 00:00:00,downloads,2,2.0,13.142857142857142,20.633333333333333,-84.62,False,0.9
daily,2025-08-21 00:00:00,downloads,28,28.0,15.0,21.1,1300.0,False,0.9
daily,2025-08-22 00:00:00,downloads,1,1.0,11.0,21.0,-96.43,False,0.9
daily,2025-08-22 00:00:00,downloads,47,17.0,17.0,22.3,1600.0,True,0.4
daily,2025-08-23 00:00:00,downloads,14,14.0,18.714285714285715,21.966666666666665,-17.65,False,0.9
daily,2025-08-24 00:00:00,downloads,1,1.0,15.142857142857142,21.933333333333334,-92.86,False,0.9
daily,2025-08-24 00:00:00,downloads,23,23.0,16.571428571428573,22.233333333333334,2200.0,False,0.9
daily,2025-08-25 00:00:00,downloads,1,1.0,16.428571428571427,21.733333333333334,-95.65,False,0.9
daily,2025-08-26 00:00:00,downloads,2,2.0,12.714285714285714,21.533333333333335,100.0,False,0.9
daily,2025-08-27 00:00:00,downloads,11,11.0,14.142857142857142,21.366666666666667,450.0,False,0.9
daily,2025-08-27 00:00:00,downloads,5,5.0,8.142857142857142,21.0,-54.55,False,0.9
daily,2025-08-28 00:00:00,downloads,4,4.0,6.714285714285714,20.933333333333334,-20.0,False,0.9
daily,2025-08-28 00:00:00,downloads,14,14.0,8.571428571428571,20.8,250.0,False,0.9
daily,2025-08-29 00:00:00,downloads,10,10.0,6.714285714285714,20.5,-28.57,False,0.9
daily,2025-08-31 00:00:00,downloads,2,2.0,6.857142857142857,20.466666666666665,-80.0,False,0.9
daily,2025-08-31 00:00:00,downloads,14,14.0,8.571428571428571,20.9,600.0,False,0.9
daily,2025-09-01 00:00:00,downloads,8,8.0,8.142857142857142,20.866666666666667,-42.86,False,0.9
daily,2025-09-01 00:00:00,downloads,21,21.0,10.428571428571429,21.466666666666665,162.5,False,0.9
daily,2025-09-02 00:00:00,downloads,2,2.0,10.142857142857142,21.333333333333332,-90.48,False,0.9
daily,2025-09-02 00:00:00,downloads,3,3.0,8.571428571428571,20.266666666666666,50.0,False,0.9
daily,2025-09-04 00:00:00,downloads,1,1.0,7.285714285714286,19.9,-66.67,False,0.9
daily,2025-09-05 00:00:00,downloads,17,17.0,9.428571428571429,15.066666666666666,1600.0,False,0.9
daily,2025-09-06 00:00:00,downloads,21,21.0,10.428571428571429,13.266666666666667,23.53,False,0.9
daily,2025-09-06 00:00:00,downloads,1,1.0,9.428571428571429,11.433333333333334,-95.24,False,0.9
daily,2025-09-07 00:00:00,downloads,3,3.0,6.857142857142857,11.033333333333333,200.0,False,0.9
daily,2025-09-07 00:00:00,downloads,7,7.0,7.571428571428571,10.3,133.33,False,0.9
daily,2025-09-08 00:00:00,downloads,2,2.0,7.428571428571429,10.2,-71.43,False,0.9
daily,2025-09-09 00:00:00,downloads,9,9.0,8.571428571428571,10.433333333333334,350.0,False,0.9
daily,2025-09-10 00:00:00,downloads,31,11.0,10.571428571428571,10.6,22.22,True,0.4
daily,2025-09-10 00:00:00,downloads,11,11.0,9.142857142857142,10.533333333333333,0.0,False,0.9
daily,2025-09-11 00:00:00,downloads,3,3.0,9.428571428571429,10.566666666666666,-72.73,False,0.9
daily,2025-09-11 00:00:00,downloads,23,23.0,12.285714285714286,10.4,666.67,False,0.9
daily,2025-09-12 00:00:00,downloads,10,10.0,12.714285714285714,10.7,-56.52,False,0.9
daily,2025-09-14 00:00:00,downloads,6,6.0,13.285714285714286,9.333333333333334,-40.0,False,0.9
daily,2025-09-14 00:00:00,downloads,3,3.0,12.428571428571429,8.966666666666667,-50.0,False,0.9
daily,2025-09-16 00:00:00,downloads,1,1.0,8.142857142857142,8.966666666666667,-66.67,False,0.9
daily,2025-09-16 00:00:00,downloads,11,11.0,8.142857142857142,8.566666666666666,1000.0,False,0.9
daily,2025-09-17 00:00:00,downloads,22,22.0,10.857142857142858,9.266666666666667,100.0,False,0.9
daily,2025-09-18 00:00:00,downloads,1,1.0,7.714285714285714,9.233333333333333,-95.45,False,0.9
daily,2025-09-18 00:00:00,downloads,17,17.0,8.714285714285714,9.433333333333334,1600.0,False,0.9
daily,2025-09-19 00:00:00,downloads,10,10.0,9.285714285714286,9.6,-41.18,False,0.9
